page_number,block_id,x0,y0,x1,y1,block_type,text
1,0,29.5,669.9068603515625,251.3920135498047,678.9068603515625,0,"4 
Introduction 
The Core"
1,1,149.5,28.049739837646484,262.03997802734375,45.218971252441406,0,1-1 The Crisis
1,2,149.5,55.35285949707031,517.8280639648438,497.35284423828125,0,"Table 1-1 gives you output growth rates for the world economy, for advanced econ-
omies and for other countries separately, since 2000. As you can see, from 2000 to 
2007 the world economy had a sustained expansion. Annual average world output 
growth was 3.2%, with advanced economies (the group of 30 or so richest countries 
in the world) growing at 2.6% per year, and emerging and developing economies 
(the other 150 or so other countries in the world) growing at an even faster 6.5% per 
year.
In 2007 however, signs that the expansion might be coming to an end started to 
appear. U.S. housing prices, which had doubled since 2000, started declining. In mid-
2007, as we wrote the previous edition of this book, we described how economists were 
divided as to whether this might lead to a recession—a decrease in output. Optimists 
believed that, while lower housing prices might lead to lower housing construction 
and to lower spending by consumers, the Fed (the short name for the U.S. central bank, 
formally known as the Federal Reserve Board) could lower interest rates to stimulate 
demand and avoid a recession. Pessimists believed that the decrease in interest rates 
might not be enough to sustain demand, and that the United States may go through a 
short recession.
Even the pessimists turned out not to be pessimistic enough. As housing prices 
continued to decline, it became clear that many of the mortgage loans that had 
been given out during the earlier expansion were of poor quality. Many of the bor-
rowers had taken too large a loan and were increasingly unable to make mortgage 
payments. And, with declining housing prices, the value of their mortgage often 
exceeded the price of the house, giving them an incentive to default. This was not 
the worst of it: The banks that had issued the mortgages had often bundled and 
packaged them together into new securities and then sold these securities to other 
banks and investors. These  securities had often been repackaged into yet new se-
curities, and so on. The result is that many banks, instead of holding the mortgages 
themselves, held these securities, which were so complex that their value was 
nearly impossible to assess.
This complexity and opaqueness turned a housing price decline into a major 
financial crisis, a development that very few economists had anticipated. Not know-
ing the quality of the assets that other banks had on their balance sheets, banks 
became very reluctant to lend to each other for fear that the bank to which they lent 
might not be able to repay. Unable to borrow, and with assets of uncertain value, 
many banks found themselves in trouble. On September 15, 2008, a major bank, 
Lehman Brothers, went bankrupt. The effects were dramatic. Because the links be-
tween Lehman and other banks were so opaque, many other banks looked appeared"
1,3,155.75,520.9161987304688,339.7010192871094,530.06396484375,0,Table 1-1 World Output Growth since 2000
1,4,209.97300720214844,542.1500244140625,510.6514587402344,562.6519775390625,0,"Percent
2000–2007 
(average)
2008
2009
2010
2011*
2012*"
1,5,273.6050109863281,568.364013671875,504.0929870605469,576.364013671875,0,"World
3.2
1.5
−2.3
4.0
3.0
3.2"
1,6,213.74900817871094,585.0759887695312,504.09295654296875,593.0759887695312,0,"Advanced economies
2.6
0.1
−3.7
3.0
1.6
1.9"
1,7,153.62901306152344,601.2839965820312,504.0849609375,609.2839965820312,0,"Emerging and developing economies
6.5
6.0
2.8
7.3
6.4
6.0"
1,8,153.625,617.2460327148438,486.3841247558594,633.248046875,0,"Output growth: Annual rate of growth of gross domestic product (GDP). *The numbers for 2011 and 2012 are  
forecasts, as of the fall of 2011."
1,9,153.625,639.3030395507812,338.6769714355469,646.3030395507812,0,"Source: World Economic Outlook database, September 2011"
1,10,29.5,336.3133544921875,139.76719665527344,394.3133544921875,0,"“Banks” here actually means 
“banks and other financial in-
stitutions.” But this is too long 
to write and we do not want to 
go into these complications in 
Chapter 1."
1,11,139.95948791503906,354.8299865722656,147.0399932861328,363.3299865722656,0,
2,0,47.5,669.7590942382812,532.2960205078125,678.9068603515625,0,"Chapter 1 
A Tour of the World 
5"
2,1,47.49699401855469,281.04486083984375,415.9200439453125,651.0448608398438,0,"at risk of going bankrupt as well. For a few weeks, it looked as if the whole financial 
system might collapse.
This financial crisis quickly turned into a major economic crisis. Stock prices col-
lapsed. Figure 1-1 plots the evolution of three stock price indexes, for the United States, 
for the Euro area, and for emerging economies, from the beginning of 2007 on. The 
 indexes are set equal to 1 in January 2007. Note how, by the end of 2008, stock prices 
had lost half or more of their value from their previous peak. Note also that, despite the 
fact that the crisis originated in the United States, European and emerging market stock 
prices decreased by as much as their U.S. counterparts; we shall return to this later.
Hit by the decrease in housing prices and the collapse in stock prices, and wor-
ried that this might be the beginning of another Great Depression, people sharply 
cut their consumption. Worried about sales and uncertain about the future, firms 
sharply cut back investment. With housing prices dropping and many vacant homes 
on the market, very few new homes were built. Despite strong actions by the Fed, 
which cut interest rates all the way down to zero, and by the U.S. government, which 
cut taxes and increased spending, demand decreased, and so did output. In  the third 
quarter of 2008, U.S. output growth turned negative and remained so in 2009.
One might have hoped that the crisis would remain largely contained in the 
United States. As Table 1-1 and Figure 1-1 both show, this was not the case. The U.S. 
crisis quickly became a world crisis. Other countries were affected through two chan-
nels. The first channel was trade. As U.S. consumers and firms cut spending, part of the 
decrease fell on imports of foreign goods. Looking at it from the viewpoint of countries 
exporting to the United States, their exports went down, and so, in turn, did their out-
put. The second channel was financial. U.S. banks, badly needing funds in the United 
States, repatriated funds from other countries, creating problems for banks in those 
countries as well. The result was not just a U.S. but a world recession. By 2009, average 
growth in advanced economies was -3.7%, by far the lowest annual growth rate since 
the Great Depression. Growth in emerging and developing economies remained posi-
tive but was nearly 4 percentage points lower than the 2000–2007 average.
Since then, thanks to strong monetary and fiscal policies and to the slow repair of the 
financial system, most economies have turned around. As you can see from Table 1-1,"
2,2,425.5,28.734973907470703,482.1390075683594,39.7349739074707,0,Figure 1-1
2,3,425.5,47.3349723815918,528.3970336914062,89.32893371582031,0,"Stock prices in the United 
States, the Euro area, 
and emerging economies, 
2007–2010"
2,4,425.5,102.93497467041016,533.93701171875,136.94100952148438,0,"Source: Haver Analytics USA 
(S111ACD), Eurogroup (S023ACD), 
all emerging markets (S200ACD), 
all monthly averages)"
2,5,59.30099868774414,220.80099487304688,70.4209976196289,228.80099487304688,0,0.0
2,6,59.30099868774414,196.7449951171875,70.4209976196289,204.7449951171875,0,0.2
2,7,59.30099868774414,172.68096923828125,70.4209976196289,180.68096923828125,0,0.4
2,8,59.30099868774414,148.616943359375,70.4209976196289,156.616943359375,0,0.6
2,9,59.30099868774414,124.5609130859375,70.4209976196289,132.5609130859375,0,0.8
2,10,59.30099868774414,100.49688720703125,70.4209976196289,108.49688720703125,0,1.0
2,11,59.30099868774414,76.44091796875,70.4209976196289,84.44091796875,0,1.2
2,12,59.30099868774414,52.37689208984375,70.4209976196289,60.37689208984375,0,1.4
2,13,59.30179977416992,28.3209228515625,70.42179870605469,36.3209228515625,0,1.6
2,14,340.9259948730469,102.77066040039062,398.4360046386719,111.77066040039062,0,United States
2,15,329.8559875488281,168.59664916992188,371.37298583984375,177.59664916992188,0,Euro area
2,16,202.86599731445312,62.243621826171875,293.8919982910156,71.24362182617188,0,Emerging economies
2,17,54.894195556640625,230.33396911621094,82.56726837158203,258.0069885253906,0,2007–01
2,18,90.8714370727539,230.33396911621094,118.54450988769531,258.0069885253906,0,2007–06
2,19,139.83670043945312,230.33396911621094,167.5098114013672,258.0069885253906,0,2008–01
2,20,175.27655029296875,230.3283233642578,202.9496612548828,258.0013427734375,0,2008–06
2,21,223.96009826660156,230.3283233642578,251.63320922851562,258.0013427734375,0,2009–01
2,22,259.82421875,230.3283233642578,287.4972229003906,258.0013427734375,0,2009–06
2,23,308.92523193359375,230.3283233642578,336.5982360839844,258.0013427734375,0,2010–01
2,24,344.37017822265625,230.32887268066406,372.0431823730469,258.00189208984375,0,2010–06
2,25,379.3857727050781,230.32887268066406,407.05877685546875,258.00189208984375,0,2010–11
2,26,47.703643798828125,62.809139251708984,55.703643798828125,196.64910888671875,0,"Index,  equal to 1.0 in January 2007"
2,27,425.5,393.3133544921875,535.7400512695312,441.3133544921875,0,"The Great Depression saw 
four years of negative output 
growth from 1929 to 1932. The 
unemployment rate peaked at 
24.9%."
2,28,416.0039978027344,414.3810119628906,425.2103576660156,422.8810119628906,0,
3,0,29.5,669.9068603515625,251.3920135498047,678.9068603515625,0,"6 
Introduction 
The Core"
3,1,149.49998474121094,246.99488830566406,517.8248901367188,556.994873046875,0,"growth in both advanced countries and in emerging and developing economies turned 
positive in 2010, and the forecasts are for positive but low growth for 2011 and 2012.
Emerging and developing economies have largely recovered. Their exports have 
increased and foreign funds have returned. Indeed, some of these countries are start-
ing to see increasing inflation, which is an indication that they may be overheating.
In advanced countries, however, many problems remain. As shown in Figure 1-2, 
both in the United States and the Euro area, unemployment increased a lot in the 
crisis and remains very high. The increase in the unemployment rate in the United 
States is particularly striking, increasing from 4.6% in 2007 to 9.6% in 2010, with fore-
casts implying only a slow decrease in 2011 and 2012. What is behind this persistently 
high unemployment is low output growth, and behind this low growth are many fac-
tors: Housing prices are still declining, and housing investment remains very low. 
Banks are still not in great shape, and bank lending is still tight. Consumers who have 
seen the value of their housing and their financial wealth fall are cutting consump-
tion. And the crisis has led to serious fiscal problems. As output declined during the 
crisis, so did government revenues, leading to a large increase in budget deficits. 
Deficits have led in turn to a large increase in public debt over time. Countries must 
now reduce their deficits, and this is proving difficult. There are serious worries that, 
in some European countries, governments may not be able to adjust and may default 
on their debt. This, in turn, makes economists and policy makers worry that we may 
see yet another financial and economic crisis in the near future.
In short, while the worst of the crisis is probably over, it has left many problems 
in its wake, which will keep macroeconomists and policy makers busy for many years 
to come. We shall return to these issues in more detail at many points in the book. In 
the rest of the chapter, we take a closer look at the three main economic powers of the 
world: the United States, the Euro area, and China."
3,2,149.5,579.0917358398438,322.8320007324219,596.260986328125,0,1-2 The United States
3,3,149.5,606.3948364257812,517.7450561523438,652.3948364257812,0,"When economists first look at a country, the first two questions they ask are: How 
big is the country, from an economic point of view? And what is its standard of 
living? To answer the first, they look at output—the level of production of the 
country as a whole. To answer the second, they look at output per person. The"
3,4,29.5,28.734973907470703,86.13899993896484,39.7349739074707,0,Figure 1-2
3,5,29.5,47.3349723815918,138.70599365234375,78.33094787597656,0,"Unemployment rates in the 
United States and the Euro 
area, 2000–2012"
3,6,29.49999237060547,91.93497467041016,131.6859893798828,107.9369888305664,0,"Source: World Economic Outlook 
database, September 2011"
3,7,166.156005859375,194.68899536132812,170.60400390625,202.68899536132812,0,0
3,8,170.84019470214844,205.1475067138672,189.07774353027344,223.385009765625,0,2000
3,9,197.12168884277344,205.1475067138672,215.35923767089844,223.385009765625,0,2001
3,10,223.39752197265625,205.14186096191406,241.63507080078125,223.37936401367188,0,2002
3,11,249.67901611328125,205.14186096191406,267.91650390625,223.37936401367188,0,2003
3,12,275.96051025390625,205.14186096191406,294.197998046875,223.37936401367188,0,2004
3,13,302.24200439453125,205.14186096191406,320.4794921875,223.37936401367188,0,2005
3,14,328.52349853515625,205.14186096191406,346.760986328125,223.37936401367188,0,2006
3,15,354.80499267578125,205.14186096191406,373.04248046875,223.37936401367188,0,2007
3,16,381.08648681640625,205.14186096191406,399.323974609375,223.37936401367188,0,2008
3,17,407.36798095703125,205.14186096191406,425.60546875,223.37936401367188,0,2009
3,18,433.64947509765625,205.14186096191406,451.886962890625,223.37936401367188,0,2010
3,19,459.93096923828125,205.14186096191406,478.16845703125,223.37936401367188,0,2011
3,20,486.21246337890625,205.14186096191406,504.449951171875,223.37936401367188,0,2012
3,21,166.156005859375,166.96002197265625,170.60400390625,174.96002197265625,0,2
3,22,166.156005859375,139.23199462890625,170.60400390625,147.23199462890625,0,4
3,23,166.156005859375,111.50396728515625,170.60400390625,119.50396728515625,0,6
3,24,166.156005859375,83.77593994140625,170.60400390625,91.77593994140625,0,8
3,25,161.7080078125,56.04791259765625,170.60400390625,64.04791259765625,0,10
3,26,161.7080078125,28.32073974609375,170.60400390625,36.32073974609375,0,12
3,27,359.85198974609375,151.33853149414062,417.36199951171875,160.33853149414062,0,United States
3,28,329.53997802734375,54.741546630859375,371.0569763183594,63.741546630859375,0,Euro area
3,29,150.04803466796875,102.86212158203125,158.04803466796875,132.20611572265625,0,Percent
4,0,47.5,669.7590942382812,532.2960205078125,678.9068603515625,0,"Chapter 1 
A Tour of the World 
7"
4,1,47.5,317.494873046875,415.6029968261719,411.494873046875,0,"answers, for the United States, are given in Figure 1-3: The United States is very 
large, with an output of $14.7 trillion in 2010, accounting for 23% of world output. 
This makes it the largest country in the world, in economic terms. And the stand-
ard of living in the United States is very high: Output per person is $47,300. It is 
not the country with the highest output per person in the world, but it is close to 
the top.
When economists want to dig deeper and look at the state of health of the country, 
they look at three basic variables:"
4,2,47.5,419.494873046875,415.5330810546875,477.494873046875,0,"■ 
Output growth—the rate of change of output
■ 
The unemployment rate—the proportion of workers in the economy who are not 
employed and are looking for a job
■ 
The inflation rate—the rate at which the average price of the goods in the economy 
is increasing over time"
4,3,47.50001525878906,485.494873046875,415.83612060546875,651.494873046875,0,"Numbers for the three variables for the U.S. economy are given in Table 1-2. To put 
current numbers in perspective, the first column gives the average value of the rate 
of growth of output, the unemployment rate, and the inflation rate in the United 
States for the period 1980 to 1999. The next columns look at the more recent years, 
giving you first average numbers for the period 2000 to 2007, and then numbers for 
each year from 2008 to 2012. The numbers for 2011 and 2012 are forecasts as of the 
fall of 2011.
By looking at the first two columns, you can see why, in 2007, just before the cri-
sis, economists felt good about the U.S. economy. The rate of growth of the economy 
since 2000 was 2.6%, admittedly a bit lower than the previous 20-year average, but 
still fairly high for an advanced country. Importantly, the average unemployment 
rate since 2000 was 5.0%, substantially lower than in the previous 20 years. And infla-
tion was low, 2.8% on average since 2000, again substantially lower than it had been 
in the past."
4,4,425.5,28.734973907470703,482.1390075683594,39.7349739074707,0,Figure 1-3
4,5,425.5,47.3349723815918,494.9908142089844,56.3349723815918,0,The United States
4,6,262.2590026855469,108.79055786132812,361.67303466796875,156.03118896484375,0,"The United States, 2010
Output: $14.7 trillion
Population: 308.7 million
Output per person: $47,300
Share of world output: 23%"
4,7,425.5,358.7133483886719,535.7449340820312,466.7133483886719,0,"Can you guess some of 
the countries with a higher 
 standard of living than the 
United States? Hint: Think 
of oil producers and financial 
centers. For the answers, go 
to www.imf.org/external/pubs/
ft/weo/2011/01/weodata/weo-
selgr.aspx and look for “Gross 
Domestic Product per capita, in 
current prices.”"
4,8,415.9150085449219,378.3810119628906,425.1213684082031,386.8810119628906,0,
5,0,29.5,669.9068603515625,251.3920135498047,678.9068603515625,0,"8 
Introduction 
The Core"
