page_number,object_type,label,caption_line,start_index,end_index
1,Table,Table 1-1,"Table 1-1 gives you output growth rates for the world economy, for advanced econ-",16,25
1,Table,Table 1-1,"Table 1-1 gives you output growth rates for the world economy, for advanced econ-",3055,3064
2,Figure,Figure 1-1,Figure 1-1,5,15
2,Figure,Figure 1-1,Figure 1-1,633,643
2,Figure,Figure 1-1,Figure 1-1,1925,1935
2,Table,Table 1-1,"United States. As Table 1-1 and Figure 1-1 both show, this was not the case. The U.S.",1911,1920
2,Table,Table 1-1,"United States. As Table 1-1 and Figure 1-1 both show, this was not the case. The U.S.",2999,3008
3,Figure,Figure 1-2,Figure 1-2,4,14
3,Figure,Figure 1-2,Figure 1-2,764,774
4,Figure,Figure 1-3,Figure 1-3,0,10
4,Figure,Figure 1-3,Figure 1-3,204,214
4,Table,Table 1-2,Numbers for the three variables for the U.S. economy are given in Table 1-2. To put,1366,1375
5,Figure,Figure 1-4,Figure 1-4 shows the evolution of the U.S. federal budget surplus (a negative value,1283,1293
5,Figure,Figure 1-4,Figure 1-4 shows the evolution of the U.S. federal budget surplus (a negative value,1705,1715
5,Table,Table 1-2,"Table 1-2 Growth, Unemployment, and Inflation in the United States, 1980–2012",0,9
7,Figure,Figure 1-5,"As you can see from Figure 1-5, the Euro area is a strong economic power.",935,945
7,Table,Table 1-3,"of  the United States.) As the numbers in Table 1-3 show, however, it is not doing",1200,1209
7,Table,Table 1-3,"of  the United States.) As the numbers in Table 1-3 show, however, it is not doing",1286,1295
7,Table,Table 1-3,"of  the United States.) As the numbers in Table 1-3 show, however, it is not doing",3385,3394
8,Figure,Figure 1-5,Figure 1-5,454,464
10,Figure,Figure 1-6,powers in the world. Is the attention justified? A first look at the numbers in Figure 1-6,177,187
10,Figure,Figure 1-6,powers in the world. Is the attention justified? A first look at the numbers in Figure 1-6,1804,1814
10,Figure,Figure 1-6,powers in the world. Is the attention justified? A first look at the numbers in Figure 1-6,2492,2502
10,Table,Table 1-4,"three decades. This is shown in Table 1-4, which gives output growth, unemployment,",1924,1933
10,Table,Table 1-4,"three decades. This is shown in Table 1-4, which gives output growth, unemployment,",2167,2176
11,Table,Table 1-4,"Table 1-4 Growth and Inflation in China, 1980–2012",0,9
11,Table,Table 1-4,"Table 1-4 Growth and Inflation in China, 1980–2012",1137,1146
13,Table,Table 1,Web site www.bea.gov. Table 1.1.1 presents the percent change,3308,3315
20,Figure,Figure 2-1,Figure 2-1 plots the evolution of both nominal GDP and real GDP since 1960. By,1888,1898
20,Figure,Figure 2-1,Figure 2-1 plots the evolution of both nominal GDP and real GDP since 1960. By,2628,2638
21,Figure,Figure 2-2,The evolution of GDP growth in the United States since 1960 is given in Figure 2-2.,1328,1338
21,Figure,Figure 2-2,The evolution of GDP growth in the United States since 1960 is given in Figure 2-2.,2166,2176
21,Figure,Figure 2-1,GDPCA in Figure 2-1,2477,2487
24,Figure,Figure 2-3,Figure 2-3,4,14
24,Figure,Figure 2-3,Figure 2-3,1040,1050
27,Figure,Figure 2-4,Figure 2-4,4,14
27,Figure,Figure 2-4,Figure 2-4,1483,1493
28,Figure,Figure 2-5,for this reason has become known as Okun’s law. Figure 2-5 plots the change in the un-,3575,3585
29,Figure,Figure 2-5,Figure 2-5,3,13
29,Figure,Figure 2-6,inflation and the unemployment rate. Figure 2-6 plots the change in the inflation rate,2391,2401
30,Figure,Figure 2-6,Figure 2-6,3,13
31,Figure,Figure 2-7,sive look at the role of macroeconomic policy. This organization is shown in Figure 2-7.,2372,2382
32,Figure,Figure 2-7,Figure 2-7,0,10
