page_number,chunk_id,chunk_text
1,page_1_chunk_1,"1-1 The Crisis

Table 1-1 gives you output growth rates for the world economy, for advanced econ-
omies and for other countries separately, since 2000. As you can see, from 2000 to 
2007 the world economy had a sustained expansion. Annual average world output 
growth was 3.2%, with advanced economies (the group of 30 or so richest countries 
in the world) growing at 2.6% per year, and emerging and developing economies 
(the other 150 or so other countries in the world) growing at an even faster 6.5% per 
year.
In 2007 however, signs that the expansion might be coming to an end started to 
appear. U.S. housing prices, which had doubled since 2000, started declining. In mid-
2007, as we wrote the previous edition of this book, we described how economists were 
divided as to whether this"
1,page_1_chunk_2,"2000, started declining. In mid-
2007, as we wrote the previous edition of this book, we described how economists were 
divided as to whether this might lead to a recession—a decrease in output. Optimists 
believed that, while lower housing prices might lead to lower housing construction 
and to lower spending by consumers, the Fed (the short name for the U.S. central bank, 
formally known as the Federal Reserve Board) could lower interest rates to stimulate 
demand and avoid a recession. Pessimists believed that the decrease in interest rates 
might not be enough to sustain demand, and that the United States may go through a 
short recession.
Even the pessimists turned out not to be pessimistic enough. As housing prices 
continued to decline, it became clear that many of the mortgage"
1,page_1_chunk_3,"Even the pessimists turned out not to be pessimistic enough. As housing prices 
continued to decline, it became clear that many of the mortgage loans that had 
been given out during the earlier expansion were of poor quality. Many of the bor-
rowers had taken too large a loan and were increasingly unable to make mortgage 
payments. And, with declining housing prices, the value of their mortgage often 
exceeded the price of the house, giving them an incentive to default. This was not 
the worst of it: The banks that had issued the mortgages had often bundled and 
packaged them together into new securities and then sold these securities to other 
banks and investors. These  securities had often been repackaged into yet new se-
curities, and so on. The result is that many banks, instead of"
1,page_1_chunk_4,"banks and investors. These  securities had often been repackaged into yet new se-
curities, and so on. The result is that many banks, instead of holding the mortgages 
themselves, held these securities, which were so complex that their value was 
nearly impossible to assess.
This complexity and opaqueness turned a housing price decline into a major 
financial crisis, a development that very few economists had anticipated. Not know-
ing the quality of the assets that other banks had on their balance sheets, banks 
became very reluctant to lend to each other for fear that the bank to which they lent 
might not be able to repay. Unable to borrow, and with assets of uncertain value, 
many banks found themselves in trouble. On September 15, 2008, a major bank, 
Lehman Brothers, went bankrupt."
1,page_1_chunk_5,"and with assets of uncertain value, 
many banks found themselves in trouble. On September 15, 2008, a major bank, 
Lehman Brothers, went bankrupt. The effects were dramatic. Because the links be-
tween Lehman and other banks were so opaque, many other banks looked appeared

“Banks” here actually means 
“banks and other financial in-
stitutions.” But this is too long 
to write and we do not want to 
go into these complications in 
Chapter 1.



Table 1-1 World Output Growth since 2000

Percent
2000–2007 
(average)
2008
2009
2010
2011*
2012*

World
3.2
1.5
−2.3
4.0
3.0
3.2

Advanced economies
2.6
0.1
−3.7
3.0
1.6
1.9

Emerging and developing economies
6.5
6.0
2.8
7.3
6.4
6.0

Output growth: Annual rate of growth of gross domestic product (GDP). *The numbers for 2011 and 2012 are"
1,page_1_chunk_6,"economies
6.5
6.0
2.8
7.3
6.4
6.0

Output growth: Annual rate of growth of gross domestic product (GDP). *The numbers for 2011 and 2012 are  
forecasts, as of the fall of 2011.

Source: World Economic Outlook database, September 2011

4 
Introduction 
The Core"
2,page_2_chunk_1,"1.6

Figure 1-1

Stock prices in the United 
States, the Euro area, 
and emerging economies, 
2007–2010

1.4

Emerging economies

Index,  equal to 1.0 in January 2007

1.2

1.0

United States

Source: Haver Analytics USA 
(S111ACD), Eurogroup (S023ACD), 
all emerging markets (S200ACD), 
all monthly averages)

0.8

0.6

Euro area

0.4

0.2

0.0

2008–06

2009–01

2009–06

2010–01

2010–06

2010–11

2007–01

2007–06

2008–01

at risk of going bankrupt as well. For a few weeks, it looked as if the whole financial 
system might collapse.
This financial crisis quickly turned into a major economic crisis. Stock prices col-
lapsed. Figure 1-1 plots the evolution of three stock price indexes, for the United States, 
for the Euro area, and for emerging economies, from the beginning of 2007 on. The"
2,page_2_chunk_2,"the evolution of three stock price indexes, for the United States, 
for the Euro area, and for emerging economies, from the beginning of 2007 on. The 
 indexes are set equal to 1 in January 2007. Note how, by the end of 2008, stock prices 
had lost half or more of their value from their previous peak. Note also that, despite the 
fact that the crisis originated in the United States, European and emerging market stock 
prices decreased by as much as their U.S. counterparts; we shall return to this later.
Hit by the decrease in housing prices and the collapse in stock prices, and wor-
ried that this might be the beginning of another Great Depression, people sharply 
cut their consumption. Worried about sales and uncertain about the future, firms 
sharply cut back investment. With housing"
2,page_2_chunk_3,"people sharply 
cut their consumption. Worried about sales and uncertain about the future, firms 
sharply cut back investment. With housing prices dropping and many vacant homes 
on the market, very few new homes were built. Despite strong actions by the Fed, 
which cut interest rates all the way down to zero, and by the U.S. government, which 
cut taxes and increased spending, demand decreased, and so did output. In  the third 
quarter of 2008, U.S. output growth turned negative and remained so in 2009.
One might have hoped that the crisis would remain largely contained in the 
United States. As Table 1-1 and Figure 1-1 both show, this was not the case. The U.S. 
crisis quickly became a world crisis. Other countries were affected through two chan-
nels. The first channel was trade. As"
2,page_2_chunk_4,"not the case. The U.S. 
crisis quickly became a world crisis. Other countries were affected through two chan-
nels. The first channel was trade. As U.S. consumers and firms cut spending, part of the 
decrease fell on imports of foreign goods. Looking at it from the viewpoint of countries 
exporting to the United States, their exports went down, and so, in turn, did their out-
put. The second channel was financial. U.S. banks, badly needing funds in the United 
States, repatriated funds from other countries, creating problems for banks in those 
countries as well. The result was not just a U.S. but a world recession. By 2009, average 
growth in advanced economies was -3.7%, by far the lowest annual growth rate since 
the Great Depression. Growth in emerging and developing economies"
